"Date","Price","Open","High","Low","Change %"
"May 15, 2009","13.9502","14.0532","14.0973","13.8739","-0.71%"
"May 14, 2009","14.0496","13.9821","14.0833","13.9326","0.51%"
"May 13, 2009","13.9780","14.1249","14.1739","13.9411","-1.13%"
"May 12, 2009","14.1377","14.2715","14.3418","14.0853","-1.08%"
"May 11, 2009","14.2917","14.4660","14.4877","14.2495","-1.11%"
"May 08, 2009","14.4523","14.5464","14.5979","14.4088","-0.67%"
"May 07, 2009","14.5496","14.4370","14.6200","14.4194","0.76%"
"May 06, 2009","14.4395","14.5088","14.5334","14.3489","-0.45%"
"May 05, 2009","14.5053","14.4991","14.5479","14.4545","0.02%"
"May 04, 2009","14.5022","14.5535","14.5993","14.4654","-0.23%"
"May 01, 2009","14.5355","14.4523","14.6088","14.4449","0.53%"
"Apr 30, 2009","14.4585","14.3039","14.5186","14.2288","1.14%"
"Apr 29, 2009","14.2955","14.1204","14.3586","14.1087","1.23%"
"Apr 28, 2009","14.1215","14.1606","14.1705","14.0010","-0.32%"
"Apr 27, 2009","14.1669","14.1798","14.2325","14.1225","-0.48%"
"Apr 24, 2009","14.2350","14.3694","14.3791","14.1520","-0.92%"
"Apr 23, 2009","14.3678","14.3453","14.4205","14.2909","0.14%"
"Apr 22, 2009","14.3481","14.4498","14.4657","14.2838","-0.77%"
"Apr 21, 2009","14.4596","14.3325","14.4918","14.2947","0.87%"
"Apr 20, 2009","14.3350","14.5126","14.5503","14.2872","-1.21%"
"Apr 17, 2009","14.5106","14.5347","14.6003","14.4438","-0.18%"
"Apr 16, 2009","14.5373","14.5399","14.5671","14.4151","-0.09%"
"Apr 15, 2009","14.5511","14.4569","14.5891","14.3646","0.58%"
"Apr 14, 2009","14.4673","14.6412","14.6929","14.4467","-1.17%"
"Apr 13, 2009","14.6387","14.6896","14.7432","14.6076","-0.21%"
"Apr 10, 2009","14.6700","14.6920","14.7401","14.6564","-0.11%"
"Apr 09, 2009","14.6865","14.5889","14.7201","14.5728","0.64%"
"Apr 08, 2009","14.5929","14.6967","14.7574","14.5275","-0.74%"
"Apr 07, 2009","14.7020","14.7850","14.7889","14.6031","-0.51%"
"Apr 06, 2009","14.7781","14.6709","14.8453","14.6577","0.68%"
"Apr 03, 2009","14.6785","14.5706","14.6889","14.5296","0.73%"
"Apr 02, 2009","14.5724","14.4324","14.6192","14.3906","0.98%"
"Apr 01, 2009","14.4310","14.4588","14.5556","14.3697","-0.22%"
"Mar 31, 2009","14.4628","14.2280","14.5418","14.2245","1.62%"
"Mar 30, 2009","14.2329","14.3443","14.3945","14.0310","-0.65%"
"Mar 27, 2009","14.3263","14.4505","14.4720","14.2096","-0.91%"
"Mar 26, 2009","14.4574","14.2943","14.4735","14.2606","1.18%"
"Mar 25, 2009","14.2888","14.3347","14.3987","14.1830","-0.20%"
"Mar 24, 2009","14.3173","14.1981","14.4348","14.1776","0.84%"
"Mar 23, 2009","14.1979","14.0089","14.2477","13.9738","1.05%"
"Mar 20, 2009","14.0500","13.8505","14.1027","13.7881","1.48%"
"Mar 19, 2009","13.8450","14.0412","14.1372","13.7026","-1.51%"
"Mar 18, 2009","14.0575","14.4209","14.4577","13.9944","-2.58%"
"Mar 17, 2009","14.4293","14.3528","14.4823","14.3484","0.50%"
"Mar 16, 2009","14.3575","14.3384","14.4291","14.2638","0.21%"
"Mar 13, 2009","14.3270","14.2763","14.4299","14.1988","0.26%"
"Mar 12, 2009","14.2898","14.2204","14.4097","13.9858","0.44%"
"Mar 11, 2009","14.2265","14.4262","14.4529","14.1823","-1.40%"
"Mar 10, 2009","14.4284","14.4390","14.4900","14.3078","-0.13%"
"Mar 09, 2009","14.4471","14.3791","14.5026","14.3089","0.41%"
"Mar 06, 2009","14.3874","14.3340","14.4061","14.1145","0.50%"
"Mar 05, 2009","14.3154","14.4648","14.5744","14.2828","-1.16%"
"Mar 04, 2009","14.4841","14.3492","14.5483","14.3390","0.77%"
"Mar 03, 2009","14.3735","14.2454","14.4130","14.1686","1.16%"
"Mar 02, 2009","14.2087","14.2857","14.3129","14.1631","-0.37%"
"Feb 27, 2009","14.2618","14.4038","14.4237","14.1571","-0.90%"
"Feb 26, 2009","14.3910","14.2398","14.4391","14.2287","0.76%"
"Feb 25, 2009","14.2825","14.1347","14.3044","14.0891","0.89%"
"Feb 24, 2009","14.1562","13.8419","14.1810","13.7788","2.35%"
"Feb 23, 2009","13.8312","13.6698","13.8926","13.5668","1.51%"
"Feb 20, 2009","13.6248","13.7840","13.8060","13.5265","-1.24%"
"Feb 19, 2009","13.7964","13.7131","13.8212","13.6415","0.55%"
"Feb 18, 2009","13.7213","13.5186","13.7403","13.4590","1.55%"
"Feb 17, 2009","13.5115","13.4371","13.5783","13.3804","0.54%"
"Feb 16, 2009","13.4388","13.4104","13.4772","13.3622","-0.12%"
"Feb 13, 2009","13.4545","13.3099","13.4574","13.2412","1.17%"
"Feb 12, 2009","13.2992","13.2308","13.3182","13.1388","0.46%"
"Feb 11, 2009","13.2389","13.2580","13.2829","13.1217","0.05%"
"Feb 10, 2009","13.2321","13.3622","13.4171","13.2024","-1.07%"
"Feb 09, 2009","13.3749","13.4265","13.5240","13.2941","-0.64%"
"Feb 06, 2009","13.4613","13.3328","13.4950","13.2666","1.01%"
"Feb 05, 2009","13.3272","13.0909","13.4939","13.0486","1.83%"
"Feb 04, 2009","13.0876","13.0725","13.1474","12.9956","0.30%"
"Feb 03, 2009","13.0488","13.0622","13.1525","12.9453","-0.17%"
"Feb 02, 2009","13.0712","13.1680","13.1697","12.9654","-0.72%"
"Jan 30, 2009","13.1654","13.1546","13.1825","13.0318","0.10%"
"Jan 29, 2009","13.1519","13.1941","13.2571","13.0786","-0.50%"
"Jan 28, 2009","13.2177","12.9996","13.2703","12.9908","1.69%"
"Jan 27, 2009","12.9984","13.0128","13.1708","12.9251","-0.14%"
"Jan 26, 2009","13.0167","12.9748","13.1160","12.9002","0.22%"
"Jan 23, 2009","12.9882","12.9863","13.1022","12.8609","-0.02%"
"Jan 22, 2009","12.9909","13.0727","13.0991","12.8766","-0.67%"
"Jan 21, 2009","13.0780","13.1119","13.1847","12.7350","-0.39%"
"Jan 20, 2009","13.1297","13.2614","13.3026","13.1049","-1.04%"
"Jan 19, 2009","13.2675","13.3023","13.3594","13.1846","-0.02%"
"Jan 16, 2009","13.2697","13.1306","13.2989","13.1218","0.99%"
"Jan 15, 2009","13.1391","13.0232","13.1683","12.9401","0.76%"
"Jan 14, 2009","13.0395","13.0794","13.1664","12.9608","-0.03%"
"Jan 13, 2009","13.0438","13.0452","13.1535","12.9833","0.02%"
"Jan 12, 2009","13.0408","13.1875","13.2080","12.9969","-1.31%"
"Jan 09, 2009","13.2141","13.3350","13.4130","13.1846","-0.85%"
"Jan 08, 2009","13.3269","13.5524","13.6062","13.2871","-1.68%"
"Jan 07, 2009","13.5545","13.6975","13.7768","13.5075","-1.09%"
"Jan 06, 2009","13.7044","13.6803","13.8463","13.5845","0.26%"
"Jan 05, 2009","13.6688","13.4814","13.7011","13.4410","1.11%"
"Jan 02, 2009","13.5183","13.2923","13.5460","13.2732","1.60%"
"Jan 01, 2009","13.3050","13.2923","13.3782","13.1120","0.24%"
"Dec 31, 2008","13.2728","13.2040","13.3314","13.1909","0.42%"
"Dec 30, 2008","13.2174","13.2375","13.2962","13.1502","-0.14%"
"Dec 29, 2008","13.2363","13.2551","13.2712","13.1075","-0.14%"
"Dec 26, 2008","13.2553","13.2264","13.3131","13.1931","0.16%"
"Dec 25, 2008","13.2340","13.2290","13.2633","13.2059","-0.03%"
"Dec 24, 2008","13.2380","13.2764","13.2883","13.1708","-0.28%"
"Dec 23, 2008","13.2752","13.1660","13.2795","13.1216","0.90%"
"Dec 22, 2008","13.1565","13.0168","13.2061","13.0153","0.81%"
"Dec 19, 2008","13.0513","13.0785","13.1630","12.9249","-0.34%"
"Dec 18, 2008","13.0960","12.7599","13.1751","12.7511","2.41%"
"Dec 17, 2008","12.7881","12.9962","13.0556","12.7438","-1.63%"
"Dec 16, 2008","13.0001","13.2180","13.2521","12.9450","-1.87%"
"Dec 15, 2008","13.2482","13.3436","13.3562","13.1698","-0.52%"
"Dec 12, 2008","13.3175","13.3387","13.4249","12.9073","-0.49%"
"Dec 11, 2008","13.3827","13.5076","13.5415","13.3007","-0.86%"
"Dec 10, 2008","13.4985","13.4129","13.5552","13.3910","0.69%"
"Dec 09, 2008","13.4058","13.4860","13.5284","13.3707","-0.74%"
"Dec 08, 2008","13.5054","13.5022","13.6645","13.4511","-0.03%"
"Dec 05, 2008","13.5101","13.4003","13.5829","13.3161","0.73%"
"Dec 04, 2008","13.4122","13.5660","13.5895","13.3727","-1.27%"
"Dec 03, 2008","13.5842","13.5581","13.6219","13.4555","0.06%"
"Dec 02, 2008","13.5762","13.5251","13.6456","13.4456","0.26%"
"Dec 01, 2008","13.5412","13.9839","14.0030","13.5106","-3.25%"
"Nov 28, 2008","13.9960","13.9634","14.0267","13.9228","0.17%"
"Nov 27, 2008","13.9721","13.9855","14.0192","13.9083","-0.19%"
"Nov 26, 2008","13.9983","13.9525","14.0540","13.8494","0.11%"
"Nov 25, 2008","13.9830","14.2238","14.2806","13.9042","-1.63%"
"Nov 24, 2008","14.2153","14.0268","14.2241","13.8963","1.27%"
"Nov 21, 2008","14.0373","13.7015","14.0534","13.6854","1.83%"
"Nov 20, 2008","13.7852","14.0341","14.0822","13.7089","-1.78%"
"Nov 19, 2008","14.0344","14.2068","14.2393","14.0034","-1.17%"
"Nov 18, 2008","14.2005","14.1326","14.2767","14.0661","0.52%"
"Nov 17, 2008","14.1270","14.0527","14.2925","14.0440","-0.47%"
"Nov 14, 2008","14.1941","14.2922","14.3617","14.0806","-0.59%"
"Nov 13, 2008","14.2782","13.9015","14.3880","13.8356","2.82%"
"Nov 12, 2008","13.8872","14.3188","14.3676","13.8287","-3.12%"
"Nov 11, 2008","14.3349","14.3529","14.4078","14.2616","-0.05%"
"Nov 10, 2008","14.3426","14.5404","14.5745","14.2928","-0.57%"
"Nov 07, 2008","14.4250","14.3108","14.4616","14.1656","0.70%"
"Nov 06, 2008","14.3245","14.3838","14.4638","14.2830","-0.77%"
"Nov 05, 2008","14.4354","14.5801","14.6199","14.3701","-1.05%"
"Nov 04, 2008","14.5883","14.4965","14.7126","14.3898","0.62%"
"Nov 03, 2008","14.4989","14.4196","14.5741","14.3553","0.71%"
"Oct 31, 2008","14.3965","14.4115","14.4959","14.0735","-0.20%"
"Oct 30, 2008","14.4257","14.2312","14.5016","14.2049","1.39%"
"Oct 29, 2008","14.2286","14.4426","14.5818","14.0572","-1.60%"
"Oct 28, 2008","14.4595","13.5273","14.4595","13.5098","7.02%"
"Oct 27, 2008","13.5108","13.5383","13.8137","13.4229","-1.94%"
